Ticket ID,Customer Name,Product Purchased,Ticket Type,Ticket Subject,Ticket Description,Customer Satisfaction Rating
8,Customer,sprintcare,Support inquiry,@sprintcare and how do you propose we do that,"CONVERSATION HISTORY:
Customer: @sprintcare is the worst customer service
Agent: @115712 Can you please send us a private message, so that I can gain further details about your account?
Customer: @sprintcare I did.
Agent: @115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.
Customer: @sprintcare I have sent several private messages and no one is responding as usual
Agent: @115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.

CURRENT MESSAGE:
@sprintcare and how do you propose we do that",
18,Customer,sprintcare,Support inquiry,@sprintcare You gonna magically change your connectivity for,"CONVERSATION HISTORY:
Customer: @115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.
Agent: @115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA
Customer: @sprintcare Since I signed up with you....Since day 1
Agent: @115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA

CURRENT MESSAGE:
@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯",
29,Customer,Ask_Spectrum,Support inquiry,@Ask_Spectrum I received this from your corporate office wou,"CONVERSATION HISTORY:
Customer: actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI
Agent: @115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj
Customer: @Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information
Agent: @115716 What information is incorrect? ^JK
Customer: @Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?
Agent: @115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj

CURRENT MESSAGE:
@Ask_Spectrum I received this from your corporate office would you like a copy?",
36,Customer,VerizonSupport,Support inquiry,"@VerizonSupport I finally got someone that helped me, thanks","CONVERSATION HISTORY:
Customer: somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service
Agent: @115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB

CURRENT MESSAGE:
@VerizonSupport I finally got someone that helped me, thanks!",
49,Customer,VerizonSupport,Support inquiry,"@VerizonSupport How? I have my phone number and email, that'","CONVERSATION HISTORY:
Customer: @115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!
Customer: @115721 Are you referring to wireless or residential service?
^JAY
Customer: @115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..
Customer: @115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP
Customer: @115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk
Agent: @115721 Please follow and DM us so that we can look into this order. 
^HSB
Customer: @VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...
Agent: @115721 We would not be able to verify anything without authenticating your account.
^JAY

CURRENT MESSAGE:
@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",
59,Customer,VerizonSupport,Support inquiry,"@VerizonSupport Don’t know, router is downstairs. But it’s j","CONVERSATION HISTORY:
Customer: @115722 is the worst ISP I’ve ever had
Agent: @115723 What did we do to make you feel this way and how can we fix things between us? ^KMG
Customer: @VerizonSupport Cuts out every 20 minutes this is ridiculous
Agent: @115723 Are all your services cutting out?
^ACM
Customer: @VerizonSupport Yep
Agent: @115723 Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW
Customer: @VerizonSupport Just randomly boots me offline there it goes again
Agent: @115723 Did the lights change on the router when this happened?
^JAY

CURRENT MESSAGE:
@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",
76,Customer,ChipotleTweets,Support inquiry,@ChipotleTweets I had excellent service tonight too! Plenty ,"CONVERSATION HISTORY:
Customer: When you're the only one in costume #boorito @ChipotleTweets
Agent: @115731 It's because you're smart. -Tara

CURRENT MESSAGE:
@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!",
163,Customer,ChipotleTweets,Support inquiry,"@ChipotleTweets Tried, didn't work. How rude :/","CONVERSATION HISTORY:
Customer: @ChipotleTweets can I dress up as myself and still qualify for a BOORITO?
Agent: @115737 Give it a try. -Tara

CURRENT MESSAGE:
@ChipotleTweets Tried, didn't work. How rude :/",
175,Customer,ChipotleTweets,Support inquiry,@ChipotleTweets Also I got the onesie at target. So cozy,"CONVERSATION HISTORY:
Customer: Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭
Agent: @115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky
Customer: @ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight

CURRENT MESSAGE:
@ChipotleTweets Also I got the onesie at target. So cozy",
185,Customer,AskPlayStation,Support inquiry,@AskPlayStation It was when I would go to download it. I jus,"CONVERSATION HISTORY:
Customer: @AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..
Agent: @115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?

CURRENT MESSAGE:
@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.",
198,Customer,marksandspencer,Support inquiry,@marksandspencer I check with the Gov office and legal. They,"CONVERSATION HISTORY:
Customer: @marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.
Agent: @115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied
Customer: @marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!
Agent: @115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks

CURRENT MESSAGE:
@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.",
216,Customer,ATVIAssist,Support inquiry,@ATVIAssist @115755 I'm trying to buy the digital deluxe edi,"CONVERSATION HISTORY:
Customer: @ATVIAssist can you still pre oder ww2 on the playstation store
Agent: @115755 Yes you can pre order the game on the console store. For more information please contact your console store. ^RK
Customer: @ATVIAssist Thanks
Agent: @115755  No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ^RK

CURRENT MESSAGE:
@ATVIAssist @115755 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message",
234,Customer,ATVIAssist,Support inquiry,"@ATVIAssist Yes I have, so my code is on their?","CONVERSATION HISTORY:
Customer: @ATVIAssist i pre ordered wwii but how do i get the code?
Customer: @ATVIAssist For double xp^
Agent: @115762 Hello there, I apologize for the delay. Can you clarify where you pre-ordered the game? Please be sure you keep us updated. ^RN
Customer: @ATVIAssist I pre ordered my game at game stop
Agent: @115762 Hey there! You can check out this link for more information in regards to this - https://t.co/OZIlONCLtF ^KO
Customer: @ATVIAssist So, when I go get the game on friday my 2xp code will be on the receipt?
Agent: @115762 Did gamestop give you a code with your pre order down payment that you needed to redeem? ^KO
Customer: @ATVIAssist Yes, the beta code
Agent: @115762 Have you redeemed that on your https://t.co/4YBn633EOk account? Even tho it says beta code, your pre order bonus are linked. ^KO

CURRENT MESSAGE:
@ATVIAssist Yes I have, so my code is on their?",
250,Customer,AdobeCare,Support inquiry,@AdobeCare sure thing,"CONVERSATION HISTORY:
Customer: Any help here @AdobeCare? https://t.co/x50e57UG4E
Agent: @115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or
Customer: @AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...
Agent: @115767 Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue https://t.co/j3Dj2HDknM   ^SC
Customer: @AdobeCare the ctrl+alt+shift on load method didn't work. (2/2)
Agent: @115767 Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison
Customer: @AdobeCare Didn't work. Tried it on another computer, fresh install, same thing...
Agent: @115767 Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj https://t.co/iuwZCjz4Or

CURRENT MESSAGE:
@AdobeCare sure thing",
253,Customer,AdobeCare,Support inquiry,@AdobeCare ok,"CONVERSATION HISTORY:
Customer: @115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb
Agent: @115768 Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj
Customer: @AdobeCare nope still down.
Agent: @115768 Have you tried signing out/back in or reinstalling the CC desktop app? https://t.co/Ne2f7tDTM0 Let us know! ^Madison
Customer: @AdobeCare yes ive done that multiple times. its happened on previous versions as well.
Agent: @115768 Thanks for confirming. We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Madison

CURRENT MESSAGE:
@AdobeCare ok",
290,Customer,AdobeCare,Support inquiry,@AdobeCare @115776 It’s intermittent for me. This file fails,"CONVERSATION HISTORY:
Customer: So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.
Agent: @115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or
Customer: @AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality.
Agent: @115776 Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM https://t.co/3giRhN4vNJ

CURRENT MESSAGE:
@AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder",
298,Customer,AdobeCare,Support inquiry,@AdobeCare Here is an example of an export before and after.,"CONVERSATION HISTORY:
Customer: @AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!
Agent: @115781 Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren

CURRENT MESSAGE:
@AdobeCare Here is an example of an export before and after. Export settings are unchanged from default. No, only some files. https://t.co/YbCX6dmddc",
306,Customer,AirbnbHelp,Support inquiry,@AirbnbHelp I've just sent you a message with details. Thank,"CONVERSATION HISTORY:
Customer: Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq
Agent: @115782 Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you.

CURRENT MESSAGE:
@AirbnbHelp I've just sent you a message with details. Thanks for your help",
318,Customer,XboxSupport,Support inquiry,@XboxSupport @115786 When someone @115786 or @15913 @115787 ,"CONVERSATION HISTORY:
Customer: @XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??
Customer: @XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...
Agent: @115785 Hi there! We'd recommend reaching out to the chat team here: https://t.co/UrUi80i54l ^JA
Customer: @XboxSupport They have no info either..
Agent: @115785 We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA
Customer: @XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird

CURRENT MESSAGE:
@XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..",
